image_name,provenance_file,provenance_sha256,provenance_size_bytes
0_0.jpg,0_0.provenance.json,a4fb4aafb5f46b4f08d0b3caee30de5b3ed8da8a45af81564e3dcbf61cb1fc93,274
1_0.jpg,1_0.provenance.json,9fb2d99420b87aa894d44c20d8870c0c4ac2f9daa7ad12db877060930cadd3b6,274
1_1.jpg,1_1.provenance.json,055bb82d73c1ef0e3407d6d989e00a00c22f8ec5f98b03c8db80d46281717fee,274
2_0.jpg,2_0.provenance.json,6e31f39610f1848a2fb1158d8a44649377a81db0dac5fecbdb947c1397699bcc,274
2_1.jpg,2_1.provenance.json,f51d77051e40daeba4dbf7c1f95d8f8e6163da0c8a942ff90e0ea689fc6d931d,274
3_0.jpg,3_0.provenance.json,6a72d9aa78b901f5c4354aedb21fbffa7e1a961832041efc48f11925ea616bb3,274
3_1.jpg,3_1.provenance.json,74d34efcf8b54084a470596a0fd44f2d7d645672c4e5fd56428ff3ff8b3f212b,274
4_0.jpg,4_0.provenance.json,2911aa2830d720abb4403bd0a2168b808404c5264d64db218f15e4d0214370a7,274
5_0.jpg,5_0.provenance.json,66d317363c1425271c049826325623c7a5a107796b75011745d1ca8683cde76f,274
5_1.jpg,5_1.provenance.json,abb28d71b3475ad71b41a33fe8ca2d16e4dbe16fdee704516ccc38312a9191e7,274
6_0.jpg,6_0.provenance.json,98be3a507730f6de4b54e172af0785c74852bd8f1e11734574b853e5215c9d98,274
6_1.jpg,6_1.provenance.json,2bd0b973851d02546c1496a1d2b6af98849ddfe92cdc83b33384c8eab3efa4d2,274
7_0.jpg,7_0.provenance.json,4414a680f7fc7b2b79b38d163fa8c2f2e8e87e7d83dd3809a339cf4b9d634d2b,274
8_0.jpg,8_0.provenance.json,be7c0cf22e028b5edbf4906ac6d92bde909344fd26f883f8a8fa81f7e42d4a76,274
8_1.jpg,8_1.provenance.json,218798bedbc843dc2e9b959f23719a057b7f7a7e243036725b034ac0743a14d1,274
8_2.jpg,8_2.provenance.json,89e08d37d351f04f5e9b944fe4c91dc515dce41502ed848aed0b9e9935b72d80,274
8_3.jpg,8_3.provenance.json,5bb6d8d86ee904d70468ff9f14dd84fcff36c727172727828b50b2ad04c58012,274
9_0.jpg,9_0.provenance.json,77f5904b19119263027a872eda5683057579cca3cac29c31d4e1966ec7c1255c,274
9_1.jpg,9_1.provenance.json,70f40145dc84a34f3828f1c8cf206447433acbf39b394b2dec6906ac8b49adf2,274
10_0.jpg,10_0.provenance.json,45914068f8efd963be7694a41c3aa0442809a530d29706727138ba9360253775,276
10_1.jpg,10_1.provenance.json,d0ba670fa8e22e2ef23d20cec9264d3c6e0c5d507f6ea789f898eb47dce336c7,276
10_2.jpg,10_2.provenance.json,f1f8e4bf37451a365d6d929884c1dbe07a17a123775fb72cf1c4aab7a7983942,276
11_0.jpg,11_0.provenance.json,f7289628fd1f57318817f9b53dca22d6f4ef87d1b573b3c1a32169c2b06791fa,276
12_0.jpg,12_0.provenance.json,3446eb4146a639319e3699bccd0a839150af7f2a220e4f62a3ace005756d6458,276
